T,TM,Tm,H,VV,V,VM,PM 2.5
12.8,20.2,6,79,0.5,4.8,14.8,351.0
11.7,17.4,8,84,0.6,5.6,11.1,386.0
10.7,17,6,85,0.5,5.7,11.1,289.0
12.1,20.4,5.8,68,1.4,10.6,20.6,248.0
12.3,21.2,5.8,66,1.4,5.7,16.5,233.0
12.8,21.2,5.7,68,1.1,7.6,18.3,266.0
14.6,23.7,7.3,57,1.6,4.8,51.9,272.0
14.3,24.6,6.9,57,1.8,6.1,16.5,244.0
13.9,22.9,7,61,1.9,11.5,20.6,257.0
14.9,23,6,76,0.6,8,18.3,311.0
13.2,22.5,7,66,1.4,7.4,20.6,262.0
14.5,24.4,5,54,2.6,4.1,13,248.0
11.6,16.4,8,94,0.5,8.9,16.5,180.0
11.8,17.6,8.5,88,0.6,5.9,11.1,210.0
12.3,19.2,7,79,0.8,5.7,11.1,242.0
16.8,25,9.9,63,2.1,10.6,24.1,193.0
18.9,27.2,10.7,57,2.4,5.2,13,209.0
18.1,27.2,11,61,2.1,8,14.8,213.0
16.3,24.6,10,54,2.3,9.4,14.8,183.0
15,24,7,51,2.4,8.9,18.3,198.0
14.9,23.6,6.4,52,1.9,4.4,14.8,262.0
15.6,24.8,7.3,51,2.3,6.3,14.8,302.0
16.9,23.9,10.2,70,2.7,9.3,16.5,175.0
15.3,23.9,8,63,2.7,12,22.2,156.0
17,24.6,10,66,2.3,13.1,22.2,173.0
18.7,28,10.8,50,2.7,6.5,14.8,217.0
20.4,29.3,11.4,52,2.7,6.3,16.5,258.0
23.4,32.2,14.4,45,3.1,4.4,13,243.0
22.4,32.4,15,58,2.7,13.1,20.6,180.0
21,28.4,13.6,59,2.9,13.7,24.1,157.0
22.8,30.2,15,62,2.7,10.2,22.2,164.0
23.1,30.8,16.2,54,2.6,7.4,14.8,193.0
24.2,32,16.6,52,3.1,5.9,18.3,201.0
24.8,33.1,17,51,2.7,8.1,14.8,176.0
21.9,30.5,13.4,51,3.2,9.8,22.2,167.0
24.2,33,14.2,46,2.9,5.2,13,191.0
24.9,33.1,16.5,45,3.5,9.4,16.5,197.0
27.3,37.5,15,32,3.7,8,18.3,191.0
27.3,34.4,19.8,29,3.7,9.4,16.5,175.0
25.8,33.1,18.8,42,3.2,10.4,20.6,176.0
25.9,35.5,16.6,38,3.1,7.6,18.3,158.0
27.8,36.2,17.1,34,2.9,7.2,16.5,172.0
25.9,33.6,20.8,48,3.5,12,22.2,198.0
25.9,34.1,17.8,45,3.1,12.8,25.9,159.0
26.4,35.2,17,39,2.9,8.9,22.2,176.0
28.7,38.8,17.8,29,3.2,7.8,22.2,181.0
26.9,35.4,20.2,41,3.5,13.9,18.3,167.0
28.3,36.2,20.4,42,3.9,10.6,18.3,150.0
30.2,37.2,22.4,38,3.5,11.5,18.3,158.0
31.9,40,23.1,38,3.5,9.4,18.3,166.0
28.6,36.2,19.7,47,4,12,22.2,120.0
29.8,37.8,22.3,44,3.5,15.9,22.2,128.0
25.8,31.8,20.4,60,3.5,10.2,27.8,162.0
29.3,37,19,24,3.7,7.8,16.5,0.0
30.5,38.4,20,25,2.9,9.6,24.1,150.0
32.1,40,22,28,3.2,4.1,13,190.0
