T,TM,Tm,H,VV,V,VM,PM 2.5
11.4,20,4.2,78,0.8,2.8,7.6,325.0
12.4,20.2,5,78,0.5,2,7.6,331.0
13.5,20.8,5.4,74,0.6,2,9.4,314.0
17,21.1,13.5,87,1,10.6,14.8,159.0
15.7,20.3,14.4,99,1,9.4,14.8,135.0
13.6,16.4,12,97,1,7.6,14.8,122.0
10.7,16.7,6,90,0.3,1.1,5.4,290.0
10.5,15.4,6.1,90,0.3,4.3,7.6,211.0
12.5,17.8,7.4,83,0.5,2.2,11.1,259.0
12.8,18.2,9.8,88,0.3,3.7,7.6,318.0
14.1,19.4,7.6,82,0.5,3.7,9.4,270.0
10.1,14.8,6.2,88,0.5,5.9,11.1,252.0
11.8,16.2,5.8,85,0.8,4.6,11.1,204.0
12.5,18.2,6.3,78,1.6,8,14.8,186.0
13.9,22.2,6.4,82,0.6,4.4,13,289.0
14.2,22.2,7,81,0.5,5.7,11.1,267.0
13.8,20.8,6.6,88,1.1,9.1,14.8,229.0
13.1,23.4,11,84,0.8,13.1,22.2,215.0
18.7,26,8.8,62,2.3,3.1,9.4,190.0
19.2,26.1,11.5,69,1.6,3.1,9.4,213.0
16.5,26,11.8,76,1.3,6.7,14.8,188.0
18.3,28,7,54,2.3,3,7.6,203.0
18.2,27,8.9,52,2.1,3.3,11.1,199.0
19.4,27,9.4,52,2.4,4.3,11.1,185.0
19.6,28.4,10.8,51,2.6,5.6,14.8,160.0
18.6,25.6,11.4,59,2.3,12.4,20.6,165.0
18.6,26,10,45,3.4,6.3,16.5,157.0
21,27.2,12.5,63,1.8,6.1,13,192.0
19.2,27.9,13.4,64,2.6,13,25.9,81.0
19.3,25,12.1,60,3.1,4.6,13,119.0
18.8,25.3,9.6,59,2.6,5.2,13,164.0
19.9,27,11.2,61,1.9,5,14.8,183.0
22.7,29,13.7,56,2.7,4.8,11.1,152.0
21.8,28.6,14.3,64,1.8,3,9.4,190.0
21.8,30.6,13.6,62,1.9,4.6,11.1,181.0
22.8,30.8,14.2,50,1.9,5.6,11.1,142.0
23.9,31.6,16.2,62,1.9,5.4,14.8,176.0
25,32.6,17,67,1.6,3.9,11.1,198.0
27.3,33.4,18.9,61,1.9,3.7,13,183.0
29.1,36.4,19.8,63,2.3,3.1,11.1,182.0
29.2,37.4,21.2,47,2.9,4.8,11.1,177.0
28.1,38.3,20.5,57,1.9,5.4,11.1,175.0
26.6,35.5,19.6,51,1.9,9.3,14.8,155.0
27.4,35.3,20.1,42,1.8,12.8,22.2,159.0
28.2,35.8,20.4,41,2.6,6.5,14.8,165.0
29.8,39.6,20.1,47,1.8,4.4,14.8,204.0
28,39.5,21.4,39,2.6,5.6,13,149.0
28.3,39.4,17.4,42,2.6,3,11.1,184.0
28.4,39.4,19.3,38,3.2,3.9,7.6,186.0
30.4,40,19.4,34,2.9,5.4,14.8,185.0
30.4,41.6,19.7,34,3.1,4.6,11.1,174.0
31.2,42.4,19.9,34,2.6,3.7,13,170.0
31.3,40.6,21.7,38,2.1,6.1,14.8,170.0
31.7,40.6,26.2,33,2.6,10.2,16.5,156.0
31,39.4,23.7,41,2.6,3,7.6,153.0
32.7,42.6,23.7,33,1.9,7.8,14.8,191.0
33.3,42.6,25.6,32,1.9,7.2,16.5,180.0
30.2,41.2,25,39,1.9,6.9,14.8,178.0
32.2,40.6,22.7,32,2.3,11.3,18.3,171.0
31.9,40.8,24.6,36,1.9,3.3,7.6,150.0
32.2,41.5,22.2,33,2.1,5.4,14.8,190.0
33.3,43.5,25.7,44,1.9,8.3,11.1,156.0
33.6,40.8,27.4,50,2.6,9.1,11.1,160.0
33.1,40.8,28.5,54,1.9,6.1,7.6,177.0
31.9,39.4,23.8,49,2.6,3.1,11.1,168.0
34.7,40.4,29.2,47,2.3,8.3,11.1,168.0
33.7,40.4,27.6,51,3.1,8.1,16.5,160.0
33.8,42.5,25.2,54,2.6,5.7,9.4,172.0
37.7,44.2,26.5,31,2.6,5.7,18.3,171.0
36.2,45.6,25,32,3.1,6.3,20.6,161.0
35.3,43.6,27.5,43,1.9,3.9,13,169.0
36.7,44.4,28.2,33,3.1,7.4,14.8,184.0
33.9,44.4,25,36,2.3,10,27.8,161.0
29.6,34.4,23.6,64,2.3,5.6,11.1,170.0
32.2,36.7,25,52,2.9,4.1,9.4,170.0
33,39.3,25.5,48,2.6,10.2,22.2,159.0
33.2,40.6,20.4,53,2.6,4.1,9.4,174.0
35.6,42,24.9,35,2.9,6.3,11.1,166.0
35.7,42,26.6,37,2.9,4.3,11.1,152.0
36.6,43,24.9,26,3.4,7.6,16.5,157.0
37.6,43.5,27.6,25,2.9,14.3,24.1,166.0
37.6,44,29.8,24,2.1,13,24.1,156.0
38.1,44,28.1,28,2.7,8.1,16.5,145.0
38.1,43.9,31.6,32,3.1,12.8,18.3,133.0
35.7,43.7,31.2,40,2.6,16.3,25.9,138.0
37.2,42.2,29.4,38,3.7,16.1,22.2,99.0
27.8,32.7,24.5,77,2.3,4.6,14.8,120.0
29.8,32.8,23.6,66,2.3,6.5,14.8,129.0
30.2,34.5,24.9,67,2.6,8,18.3,116.0
33.2,40.5,24.3,51,2.3,4.4,11.1,157.0
34.7,40.6,29,60,2.7,7.8,14.8,152.0
36.1,40.9,29.8,57,1.9,7.8,11.1,147.0
28.5,31.9,23,86,1.8,5,18.3,101.0
30.7,34.4,26.2,76,2.1,6.7,14.8,122.0
31.1,35.7,26.2,73,2.6,7.2,11.1,84.0
34.4,39.1,30,65,2.3,8.7,11.1,93.0
34.6,39.1,29.2,61,1.9,6.7,14.8,101.0
31,39,28.2,74,1.9,9.1,14.8,117.0
31.5,37.1,26.8,76,2.3,4.4,9.4,100.0
32.2,38.4,28.4,73,1.9,7.2,11.1,88.0
33.2,38.6,27.5,65,2.6,9.6,11.1,77.0
30.8,38.2,28.8,84,2.3,6.3,14.8,114.0
27.9,37.7,25.4,92,1.8,5.7,14.8,93.0
29.4,35.1,24.5,82,1.9,2,5.4,118.0
30.7,35.7,26.8,77,1.9,9.3,18.3,87.0
30.3,35.2,26.4,78,1.8,8.5,14.8,93.0
30.2,34.6,26.7,79,1.9,5.9,7.6,91.0
28.7,32.5,24.6,85,1.9,3.3,11.1,82.0
29.8,33.6,25.6,79,1.8,8.3,11.1,72.0
31.6,35.7,25.8,72,2.1,4.6,11.1,100.0
30.8,35.7,27.6,78,1.8,3.5,7.6,135.0
27.5,33.5,26.4,92,1.6,4.6,11.1,116.0
30.9,35.2,25.1,76,1.9,2.6,9.4,127.0
32.7,36.8,27.6,72,3.1,4.6,13,114.0
31.4,37.2,27.4,74,2.7,6.3,11.1,91.0
28.8,35.4,27,85,2.6,7.4,9.4,79.0
30,34.9,25.8,79,2.3,8.3,14.8,68.0
31.5,35.7,26.7,75,2.3,9.1,16.5,60.0
29.9,35.7,27.5,81,1.9,4.8,7.6,107.0
31.1,35.1,26.6,76,1.9,3.1,7.6,138.0
29.9,34.3,25.2,76,1.9,3.5,7.6,115.0
31.3,35.1,25.8,71,2.4,6.5,11.1,103.0
30.9,35.1,26.4,70,1.8,11.5,16.5,98.0
31.9,38,25.9,66,2.4,6.1,11.1,122.0
32.5,37.1,28.2,62,2.6,4.8,7.6,127.0
30.6,37.1,27.6,78,1.9,4.6,9.4,113.0
32.3,37.1,26.8,58,2.9,10,16.5,99.0
32.2,37.2,25.8,61,1.9,2.6,7.6,121.0
32.1,37.4,26.5,65,1.9,3.1,9.4,156.0
32.3,37.7,27.1,67,2.3,5.4,7.6,147.0
30.1,37.3,23.8,74,1.9,9.8,16.5,60.0
27.8,35.4,25.8,86,1.9,8.5,14.8,62.0
26.6,33.6,24.2,91,1.6,9.1,14.8,63.0
28.6,34.7,24.5,83,1.6,2,5.4,165.0
28.6,34.7,24.6,82,1.4,3.9,7.6,130.0
26.8,34.7,24.4,88,1.3,3.1,5.4,146.0
27.6,31,22.6,83,1.9,5.9,11.1,76.0
27.8,33.4,22.7,84,1.6,2.6,7.6,146.0
28.9,33.6,22.4,75,1.8,3.9,11.1,120.0
