T,TM,Tm,H,VV,V,VM,PM 2.5
34.8,39.0,31.0,57.0,3.9,10.9,14.8,167.0
32.1,35.0,28.0,71.0,2.9,10.7,16.5,157.0
32.6,37.0,28.0,67.0,3.4,14.8,20.6,158.0
29.4,33.0,26.0,75.0,3.2,8.5,18.3,112.0
30.1,34.0,27.0,73.0,4.0,9.6,18.3,207.0
31.9,36.0,27.0,65.0,4.0,6.9,14.8,129.0
30.1,33.0,27.0,67.0,3.5,13.3,20.6,185.0
31.7,36.0,28.0,67.0,3.5,13.5,18.3,0.0
31.1,36.0,28.0,69.0,3.4,7.6,18.3,0.0
30.9,35.0,28.0,76.0,3.1,9.6,18.3,122.0
32.3,36.0,29.0,67.0,4.0,10.2,16.5,112.0
29.8,34.0,28.0,80.0,2.4,6.9,14.8,0.0
30.4,35.0,27.0,73.0,3.2,10.0,16.5,0.0
29.9,33.0,28.0,74.0,3.9,10.0,18.3,0.0
29.9,32.0,28.0,75.0,3.4,10.2,18.3,120.0
30.1,35.0,27.0,75.0,2.9,9.1,16.5,115.0
31.6,37.0,27.0,67.0,4.7,16.7,24.1,126.0
31.1,35.0,28.0,63.0,4.2,15.7,24.1,123.0
30.7,34.0,27.0,62.0,4.2,14.3,27.8,82.0
33.0,37.0,28.0,54.0,3.5,10.4,22.2,824.0
33.0,37.0,28.0,49.0,3.7,11.5,22.2,169.0
32.9,38.0,28.0,44.0,3.9,11.9,22.2,131.0
33.9,40.0,29.0,47.0,4.3,10.2,20.6,134.0
33.9,40.0,28.0,46.0,4.5,13.7,20.6,242.0
33.3,38.0,28.0,49.0,4.5,11.3,22.2,139.0
27.3,33.0,25.0,87.0,1.9,9.3,22.2,0.0
29.8,34.0,26.0,66.0,4.2,16.5,22.2,71.0
29.2,33.0,27.0,70.0,3.7,14.8,24.1,83.0
27.6,31.0,26.0,82.0,2.7,14.3,25.9,83.0
30.9,36.0,27.0,70.0,2.6,4.3,11.1,177.0
30.7,35.0,28.0,71.0,4.0,9.4,16.5,111.0
30.3,34.0,27.0,73.0,2.9,6.1,11.1,139.0
29.3,33.0,24.0,69.0,3.4,7.0,14.8,0.0
28.1,34.0,23.0,71.0,4.5,11.3,20.6,154.0
29.7,35.0,23.0,66.0,4.0,9.4,18.3,223.0
30.7,35.0,26.0,60.0,4.2,7.6,16.5,223.0
