T,TM,Tm,H,VV,V,VM,PM 2.5
12.4,19,6.5,79,1.4,3.7,9.4,325.0
12.9,19,7.3,78,1.3,3.7,11.1,331.0
14.4,20,7.9,73,1.6,3.1,13,314.0
16.3,20.5,13.8,94,1.8,14.4,22.2,159.0
15.8,18.7,15,96,1.3,11.5,22.2,135.0
12.8,16.6,10,99,1.3,9.3,18.3,122.0
11.4,16.4,6.6,95,0.6,3,7.6,322.0
10.7,16.8,7.3,94,0.5,4.1,13,290.0
9.9,13,8,96,1.3,6.9,14.8,211.0
12.3,16,7.6,94,1.1,5.6,11.1,259.0
12.6,18.4,10,91,0.6,5.7,13,318.0
13.7,18.9,9.2,92,1.1,6.9,20.6,270.0
9.7,15,7.4,97,1.1,5.9,13,252.0
11.4,15,7.4,92,1,5.4,16.5,204.0
12.2,18,7.3,86,1.6,10.6,18.3,186.0
14.4,23,9,77,1,4.6,13,289.0
13.2,23.5,9.2,92,0.6,8.1,13,267.0
15,22,10,81,1.3,12,25.9,229.0
12.4,21.5,10,95,1.1,15.9,31.7,215.0
18.2,24,11.5,66,2.7,7,14.8,190.0
18.4,25.2,12,78,2.3,4.6,16.5,213.0
15.6,25.6,12,85,1.9,8.7,18.3,188.0
17.7,25,10,56,2.6,5.7,11.1,203.0
18.8,25.5,11,50,3.1,6.9,13,199.0
18.6,26.2,12.3,50,3.2,3.7,11.1,185.0
18.8,25.2,13,58,3.1,11.1,81.7,160.0
17.7,23.2,11.7,70,2.9,12.2,25.9,165.0
18.3,25,11.2,44,3.2,7.2,16.5,157.0
20,27.2,15,65,2.4,11.7,27.8,192.0
18.1,27,14,70,4,14.1,29.4,81.0
17.8,24.2,13,65,3.1,9.4,18.3,119.0
18.9,25,12,65,3.1,5.2,13,164.0
19.9,26.2,13.6,66,2.6,6.7,16.5,183.0
22.2,28.6,15.9,57,3.1,6.3,13,152.0
21.9,30,15.5,57,3.1,4.8,13,190.0
23.3,30,17,56,2.9,7.2,18.3,181.0
23.3,31,16.8,44,3.2,10.6,20.6,142.0
25.1,31.8,17.5,56,3.2,6.9,18.3,176.0
25.9,32.8,18.6,66,2.9,5.2,14.8,198.0
27.3,34,19.7,64,3.1,8.7,20.6,183.0
29,36,22.3,56,3.1,6.1,16.5,182.0
29.8,37.2,23.3,35,3.7,5.9,13,177.0
29.2,38.1,22.5,51,2.9,10.6,18.3,175.0
27.3,35.4,21,45,3.4,9.4,20.6,155.0
27.8,34,20,35,3.5,14.3,27.8,159.0
28.3,36,20.6,30,3.9,6.1,24.1,165.0
31.3,39.6,23.7,26,2.6,8.7,14.8,204.0
29.4,39.5,22,21,4.2,8.3,20.6,149.0
30.8,39.6,20.3,19,3.7,5.7,11.1,184.0
30.9,39.6,22.3,16,4,6.9,18.3,186.0
31.7,40.3,22.5,20,3.9,5.4,16.5,185.0
32.8,42,23.6,16,3.4,5,18.3,174.0
34.2,42.7,24.1,14,3.9,5.2,20.6,170.0
33.3,41,25,18,4,8.3,14.8,170.0
32.4,40.6,26.6,20,3.2,11.1,27.8,156.0
32.4,40,24.8,22,4,8.1,18.3,153.0
34.8,43,27.3,17,3.4,9.6,27.8,191.0
34.3,42.6,26.7,18,2.9,8.9,27.8,180.0
31.2,36,25,26,2.6,12.6,27.8,178.0
33.7,40.8,26,18,2.9,12.6,46.5,171.0
33.8,41,23.4,19,2.9,6.3,24.1,150.0
34.7,42,24.9,15,2.9,6.5,24.1,190.0
33.8,44.5,28.4,34,3.2,15.2,29.4,156.0
34.4,41,27.6,36,3.2,15.4,24.1,160.0
33.1,39.2,29,47,2.6,9.1,14.8,177.0
33.6,40.2,26.2,31,3.2,7.2,14.8,168.0
33.9,41.5,26.5,36,3.2,11.5,18.3,168.0
33.9,41.5,28.4,42,3.4,13.9,20.6,160.0
35.7,44,28,37,3.5,8.3,16.5,172.0
37,44.6,28,18,3.4,6.1,18.3,171.0
38.3,46.4,28.2,16,3.5,9.6,24.1,161.0
37,44.2,29.2,25,3.5,8.3,16.5,169.0
36.9,45.1,30,21,2.7,12.6,27.8,184.0
33.8,45.1,25,28,2.3,12.4,37,161.0
29.6,34.6,24.5,63,3.2,6.7,16.5,170.0
31.4,37.5,25.4,45,3.1,5.4,13,170.0
32.4,39.5,27.1,43,3.4,10.9,22.2,159.0
34.2,40.6,26.6,40,2.9,5.4,14.8,174.0
35.7,43,27.2,25,3.1,6.9,13,166.0
36.6,43,28.9,22,3.2,5.6,11.1,152.0
36.1,44,29,22,3.4,6.3,20.6,157.0
37.7,44.6,32,17,3.1,12,25.9,166.0
37.7,44.5,31.5,15,2.9,12.2,27.8,156.0
38.1,44.5,31,21,3.5,9.1,20.6,145.0
37.7,44.2,32,25,3.7,13,20.6,133.0
34.9,43.6,30,38,3.4,14.4,22.2,138.0
36.2,42.9,29,36,4,14.8,33.5,99.0
27.6,32.3,24.9,76,3.1,6.7,16.5,120.0
30.3,33.6,24.2,55,3.5,6.5,13,129.0
30.7,35.2,25.8,55,3.4,8.9,18.3,116.0
35.1,41.2,27.1,28,3.5,7.8,14.8,157.0
35.3,41.6,30,47,3.4,16.5,24.1,152.0
35.8,41.6,30.7,48,3.4,13.3,18.3,147.0
28.6,32.2,25.2,85,2.9,7,14.8,101.0
30.6,34.9,26.9,76,3.1,9.1,18.3,122.0
31.8,35.4,27,74,3.2,10.4,14.8,84.0
34.4,38.5,31.5,57,3.7,12.6,22.2,93.0
35.4,39.4,31,50,4,11.3,18.3,101.0
31.2,39.4,28.8,70,3.4,13.3,27.8,117.0
31.5,37.7,28,69,3.7,9.8,18.3,100.0
32.1,38.3,28.8,64,4.5,12,25.9,88.0
33.5,38.3,28.1,59,4.2,13.1,27.8,77.0
32.1,38.2,28,72,3.5,8,29.4,114.0
28.6,38,25,89,3.4,8.7,29.4,93.0
29.6,35.3,25.5,81,3.7,4.6,11.1,118.0
29.7,34.9,25.8,80,3.4,13.1,22.2,87.0
29.4,32.4,27,81,3.2,11.1,20.6,93.0
29.7,34.1,26.6,80,3.4,10.6,18.3,91.0
29.1,33.4,25.6,83,3.7,4.6,13,82.0
29.7,34.2,26.8,80,4.3,9.1,13,72.0
31.2,35.5,26.3,71,3.9,6.7,14.8,100.0
30.7,34.7,28,76,3.4,6.9,14.8,135.0
27,29,25.4,95,3.1,7,27.8,116.0
30.6,35,25.2,77,3.2,5.6,11.1,127.0
31.8,35.8,28,74,3.4,8.1,18.3,114.0
30.9,34.6,27.4,74,3.7,10.9,18.3,91.0
28.3,34.6,27,89,3.5,6.5,14.8,79.0
29.4,37.5,26.2,81,4.5,10.2,20.6,68.0
30.9,36,26.6,69,5.5,10.6,25.9,60.0
29.3,36,27,83,3.5,4.3,13,107.0
31.1,35.6,27.2,76,3.7,8,11.1,138.0
30.3,34.8,26,70,4.2,5.6,13,115.0
30.5,35.5,26.6,70,4.2,11.5,18.3,103.0
30.5,35.8,26.5,69,4.2,12,22.2,98.0
31.6,37.3,27,65,4.8,7.8,14.8,122.0
31.7,37.3,28,66,3.9,6.1,11.1,127.0
32.3,37.2,28,60,3.9,8.5,14.8,113.0
32.3,36.6,27.3,55,4.8,11.5,22.2,99.0
32.4,38.2,27.7,55,3.9,5,14.8,121.0
32.3,38.2,28,60,3.4,6.9,13,156.0
32.2,37.6,28,62,3.4,7.4,16.5,147.0
30.1,36.9,24.6,65,4.8,11.9,24.1,60.0
27.8,34.5,25.6,84,3.5,12.4,24.1,62.0
25.9,32.6,24,91,3.1,10.9,22.2,63.0
29.3,35.3,26.1,72,3.1,5,13,165.0
28.7,34,26,75,3.4,6.7,13,130.0
27.1,33.7,25,86,3.2,5.9,16.5,146.0
28.1,32.6,24.4,82,2.7,5.9,13,146.0
28.7,33.1,24,72,3.5,4.4,13,120.0
