T,TM,Tm,H,VV,V,VM,PM 2.5
12.8,22.6,4,75,1.3,2,9.4,353.0
13.8,23,6.5,79,1.1,0.9,3.5,398.0
13.5,23.4,6.7,83,0.6,7.2,22.2,373.0
13.2,20,7.1,88,0.8,3.7,9.4,235.0
13.6,20.1,7,85,0.8,6.9,14.8,247.0
13.5,20.4,8,78,1.4,8.3,25.9,192.0
15.7,22.9,8.5,82,1.3,3.1,3.5,295.0
13.3,23.5,8,69,2.3,11.3,27.8,176.0
11.2,19.5,6,80,1.6,7.2,14.8,195.0
14.8,25.4,5.7,79,1.3,2,9.4,410.0
17.5,28.2,7,79,1.3,2.2,3.5,357.0
16.4,28.7,11.5,87,1.4,14.3,31.7,252.0
13.4,22,9.2,87,1.8,4.1,7.6,245.0
12.2,19,6,75,2.1,5.7,14.8,182.0
12.9,19.2,5.2,73,1.9,16.3,38.9,229.0
15.5,21,8.2,78,1.9,8.3,18.3,284.0
16.3,22,11,82,1.4,7.6,18.3,236.0
12.9,22.5,8.2,92,0.8,10.2,22.2,248.0
13.8,20,9.4,88,1.1,9.1,16.5,214.0
16.5,25.1,13.2,96,1.6,16.9,46.9,150.0
14.9,20.4,7,72,2.1,9.4,18.3,145.0
14.8,20.6,8.4,71,2.6,11.3,18.3,139.0
19.3,25,11.4,70,1.6,4.6,14.8,287.0
17.7,25.3,13.9,88,1.4,11.3,33.5,263.0
17.6,23,11.8,83,1.8,8.1,18.3,247.0
18.7,25.8,12,78,1.9,5,14.8,211.0
18.3,24.5,14.5,86,1.9,5,9.4,208.0
21.6,28,13.2,72,2.9,9.4,16.5,155.0
16.2,23.8,9.2,74,1.9,3.7,11.1,182.0
15.3,25.4,10.3,80,1.9,5.6,14.8,150.0
14.3,21,9.5,81,1.9,3.9,11.1,159.0
16.3,23.4,6.8,66,1.9,4.4,14.8,220.0
15.2,24.1,12.8,91,1.1,5.4,14.8,198.0
17.1,22.4,12.8,87,1.9,3.7,11.1,0.0
19.5,26,9,55,2.7,5.7,16.5,199.0
20.4,26.5,10.8,60,2.7,5,14.8,175.0
20.6,26.5,12.6,59,3.4,7.8,14.8,163.0
19.7,27.4,13.6,69,3.2,3.1,9.4,164.0
18.6,25,11.8,71,2.6,7.6,18.3,171.0
20.2,26,10.4,64,2.7,6.9,11.1,135.0
24.1,31,12.8,58,2.6,3.3,7.6,186.0
26.9,34,15.5,51,2.9,5,14.8,154.0
25.6,34.1,16.6,44,2.7,3.7,7.6,207.0
24.4,32.1,17.6,55,3.5,8.9,14.8,158.0
24.2,30.4,16.2,57,3.2,10.7,24.1,164.0
25.1,31.4,15,53,3.5,10.7,25.9,152.0
28.8,39.2,21,35,3.7,12.6,27.8,174.0
27.7,34.3,17.6,41,3.9,12.4,22.2,0.0
27.6,35,16.2,42,3.9,5,14.8,0.0
29.2,37,17.6,41,3.5,9.1,18.3,0.0
30.8,37.8,22.4,57,1.8,10.7,35.2,0.0
29.4,36,20.2,52,2.6,5.9,18.3,174.0
30.2,37,20.4,48,3.2,4.6,11.1,0.0
31.4,38,21.6,42,3.7,12.8,25.9,174.0
32.2,38,21.8,40,4.5,9.8,14.8,0.0
33.6,40,25.5,36,3.7,9.4,18.3,0.0
27.5,32,18.2,50,3.7,9.4,14.8,0.0
29.2,35,19.8,46,3.4,5.7,14.8,0.0
31.1,37.2,20.6,41,3.5,9.3,20.6,0.0
34.8,41,25.4,26,2.9,11.7,22.2,0.0
34.8,42,23.4,30,3.1,8.7,18.3,174.0
34.4,43.7,24.4,39,2.6,5.4,13,0.0
33.5,41.3,25.8,45,2.7,11.9,25.9,0.0
32.6,41,24,46,3.2,7.6,55.4,0.0
33.5,41.2,21.8,40,2.6,10.7,25.9,174.0
35.3,42,23.6,38,2.7,11.5,24.1,0.0
36.1,42,26.4,38,2.6,13.7,25.9,0.0
33.3,40,25.4,52,1.9,8.9,31.7,0.0
30.8,40.2,20.8,60,3.1,5.6,14.8,197.0
29.4,36,23,72,2.3,8,18.3,230.0
33.7,40,25,45,2.6,8,27.8,203.0
29.8,40.4,23.8,60,3.2,11.1,25.9,0.0
32.5,37,24.5,41,3.7,11.5,25.9,181.0
36.6,43,24.6,30,4,9.1,18.3,193.0
38.2,45,26.8,26,3.4,9.1,22.2,200.0
38.7,45,28.4,27,3.1,7.6,13,189.0
37.6,44.8,27.6,40,3.1,7.8,13,185.0
37.3,43.5,30.8,44,2.7,9.4,18.3,185.0
35.9,42.5,29.4,47,2.7,11.9,18.3,178.0
35,43.9,26.4,46,3.4,7,11.1,206.0
37.9,43,28,36,3.1,6.7,16.5,202.0
37.4,44,27.2,34,2.7,5.6,18.3,206.0
37,41.6,29,38,3.2,9.8,18.3,180.0
37.6,44,29.2,29,3.4,11.3,24.1,204.0
37.9,43.7,27.8,28,2.9,14.4,37,187.0
32.2,37,24.2,53,2.9,6.1,11.1,444.0
33.5,39,25.4,50,3.5,6.7,13,179.0
35.1,39,28.2,50,3.1,5.7,14.8,182.0
34.2,39,27.8,60,3.1,5.2,11.1,176.0
35.8,41,29.6,52,2.7,6.7,18.3,202.0
35.3,41.1,28.6,49,2.4,8,18.3,207.0
36.8,42.2,30.6,45,3.1,7.6,14.8,203.0
34.9,41.6,30,53,2.6,6.5,11.1,244.0
34.9,38.4,30.6,58,1.9,8.1,11.1,0.0
32.1,37,27.6,71,2.9,7.8,33.5,0.0
33.7,37,28.6,65,2.7,6.7,14.8,0.0
31.6,36.7,28.8,70,2.7,9.6,18.3,0.0
35.6,40,31.2,53,2.6,13.7,27.8,0.0
34.3,39.6,28.4,58,2.7,11.3,20.6,0.0
29.1,37.7,24,79,2.4,7.6,27.8,0.0
31.9,36,25,69,2.7,5.4,9.4,0.0
30.7,37,26,77,2.4,5.2,27.8,0.0
30.6,36.7,25.6,78,2.7,6.3,14.8,0.0
28.7,37.8,25,81,2.4,7.2,16.5,0.0
28.6,32,26.2,86,2.1,7.6,14.8,174.0
28.7,32.5,25.4,88,1.9,8.9,16.5,0.0
31.9,35.1,27.8,73,3.2,6.7,13,0.0
32.9,37,27.8,68,3.2,7.8,13,0.0
30.9,36.9,28,76,2.6,6.9,18.3,0.0
30.1,34.6,27.4,81,2.1,7.6,18.3,0.0
30.9,35,25.6,77,2.4,7.2,14.8,0.0
33.5,38,27.5,69,3.7,8.7,18.3,0.0
31.5,37.9,28.4,73,3.4,15.4,27.8,0.0
30.4,35,26.6,81,2.9,8.5,18.3,0.0
30.5,35.5,25.6,83,2.3,4.3,9.4,0.0
30.6,35,24.8,78,2.9,10,24.1,0.0
30.7,34,23.6,70,2.7,6.1,14.8,0.0
31.4,35,25.6,70,2.6,8.3,16.5,0.0
32,36,24.8,69,2.9,8.1,18.3,0.0
29.3,34,26.4,81,2.1,6.7,14.8,0.0
31.9,35,25.7,71,2.9,9.1,18.3,0.0
32.9,36.4,27.4,67,3.1,5.4,13,0.0
33,36.7,29.2,68,2.6,5.9,11.1,0.0
29.9,37,26.4,76,2.6,8,18.3,174.0
32.7,36.4,27.1,69,2.7,4.3,11.1,0.0
33.1,36.6,27.8,67,2.3,5.7,11.1,0.0
29.9,37.2,27.2,83,1.9,5.9,11.1,0.0
31.9,35.5,26.4,74,2.1,3.9,9.4,0.0
32.2,36,28.3,70,1.9,3.9,11.1,174.0
32.9,37.1,27.8,69,2.7,6.5,9.4,0.0
32,35,28.8,70,2.9,8.3,14.8,0.0
30.7,35.2,27.3,78,2.3,5.4,10.7,0.0
29.1,35.1,25.1,75,2.7,7.8,14.8,0.0
30.8,35,24.9,68,3.1,6.7,13,0.0
28,35.3,24,81,2.3,5.4,14.8,0.0
30.2,35,24.5,68,2.9,7.2,13,0.0
29.7,35.1,25.8,73,3.4,8.7,16.5,0.0
28.5,34,25.4,76,3.1,9.1,14.8,0.0
28.7,33,23.8,74,2.9,6.7,11.1,0.0
29.2,33,23.4,68,3.1,4.3,9.4,0.0
28.8,34.4,21.4,68,2.4,5.2,14.8,174.0
27.7,32.9,22.4,61,2.4,8.1,18.3,0.0
27.2,32,20.2,58,3.5,6.7,14.8,0.0
27.5,34,20.3,60,3.1,3.3,11.1,0.0
27.8,33.2,20.8,61,2.3,3.3,9.4,0.0
27.6,34,20.6,63,2.3,3.7,9.4,0.0
28.6,34,20.4,61,2.3,2.8,7.6,0.0
27.3,34.7,19.8,60,2.3,3.7,7.6,194.0
26,32.6,19,54,2.3,5.6,14.8,196.0
24.7,32.5,17.2,58,2.3,7.2,18.3,197.0
25.2,32.1,18.2,61,1.8,3.9,11.1,202.0
24.9,30.9,17.6,65,1.9,1.9,5.4,203.0
25.1,31.4,17.4,57,1.8,6.9,14.8,287.0
24.7,32,16.8,63,1,3,9.4,260.0
25.4,32,17.1,66,0.6,1.7,5.4,370.0
24.5,31.7,18.8,70,0.6,5,14.8,288.0
23.4,29.5,18.7,74,0.6,7.8,14.8,474.0
20.6,32.3,17,80,1,5.6,13,222.0
21.9,30,15.6,72,1.4,3.3,11.1,199.0
21.6,30.1,15.6,63,1.6,5.4,11.1,188.0
20.3,28.2,13.4,71,0.6,0.9,3.5,392.0
20.2,28.3,15.4,81,0.5,2.6,7.6,390.0
21.2,27.6,16,75,0.5,1.5,5.4,384.0
19,26.8,12.3,71,1.9,4.1,11.1,177.0
19.1,28.2,11.4,70,1.9,0.4,3.5,206.0
19.3,28.9,12.5,72,1.3,0.7,5.4,230.0
20,26.8,13.7,74,1.4,1.1,5.4,184.0
20.7,27.2,16.2,70,1.9,4.3,9.4,169.0
20.4,27.9,14.5,76,1.4,5.6,9.4,131.0
15.7,23.2,9.4,78,1.6,4.1,11.1,176.0
15.4,23.4,8,72,1.8,5.6,14.8,181.0
15.4,24.3,9.1,66,1.8,5.7,16.5,176.0
