T,TM,Tm,H,VV,V,VM,PM 2.5
13.2,18.2,9.2,92,0.8,7.6,11.1,268.0
11.1,18.3,5,80,1.1,8,14.8,266.0
12.7,19.8,5.2,78,1.3,5.4,14.8,250.0
11.9,20.7,4.4,78,0.8,1.9,7.6,371.0
11.7,20.7,6.5,89,0.3,0.9,7.6,455.0
13.9,21.6,7,74,0.8,1.1,9.4,333.0
14.9,22.1,8.9,78,1,2.8,7.6,370.0
12,22.1,9.6,95,0.3,0.4,3.5,405.0
14.5,21,8.6,88,1.3,3.5,7.6,0.0
14.6,22.3,9,86,1,4.4,9.4,199.0
13.4,22.3,11.5,98,1.4,6.9,13,179.0
11.7,18.2,9.4,96,0.5,8.3,11.1,198.0
14.3,20.3,9.9,88,0.6,8.9,14.8,203.0
16.6,24,10.1,75,1.3,10,14.8,216.0
14.8,21.1,10,86,0.5,3,11.1,309.0
13.9,21.1,10.8,83,0.8,2.6,7.6,331.0
15.3,24.4,6.8,79,0.6,1.9,7.6,268.0
18.6,27.8,8.9,65,1.3,5.6,57.6,289.0
19.7,26.4,15.1,72,1.6,15,29.4,167.0
13.8,26.4,9.6,88,1,8.1,14.8,176.0
12.7,19.5,7,66,1.4,9.3,25.9,175.0
15.3,22.6,5.6,67,1.6,4.8,11.1,218.0
13.1,22.6,11,97,1.1,5.4,11.1,164.0
12.6,17.7,9.2,91,0.6,3.9,7.6,229.0
15.1,23.3,7.1,77,0.8,1.9,7.6,303.0
16.1,24.5,8.2,80,0.6,1.9,9.4,362.0
17.2,24.6,9,75,1.4,8.9,14.8,256.0
17.9,25.2,10.3,70,1.1,0.9,7.6,251.0
18.9,26.2,12.5,72,1.3,2.4,9.4,310.0
18.6,25.3,13,80,1.1,7.2,22.2,181.0
16.3,21.3,12,90,1.1,4.3,13,153.0
16.1,21.8,10,82,1.3,5.7,11.1,166.0
17.8,25.7,10.5,67,2.1,3.7,11.1,190.0
18.4,25.9,11,65,2.3,6.7,14.8,172.0
19.8,27.1,12.8,66,2.6,9.8,24.1,166.0
22.3,29,14,61,2.3,5,13,172.0
18.9,27.1,12.8,65,2.6,9.8,18.3,141.0
19.7,27.6,12,66,1.9,5.7,13,185.0
21.4,29.7,12.6,65,1.4,2.8,9.4,187.0
21.7,28.4,16.2,61,2.3,10.2,22.2,135.0
21.5,29.2,15,59,2.6,7.4,18.3,151.0
22.4,32.5,14.5,68,2.1,5.4,11.1,173.0
24.6,32.7,16.5,64,1.8,2.8,11.1,185.0
25.2,32.7,19.1,64,1.9,2.8,11.1,171.0
23.4,29.1,19.6,69,1.9,4.8,9.4,167.0
24.2,30.8,17,48,1.9,13.1,22.2,153.0
24.9,33.2,16.8,49,2.6,9.6,25.9,188.0
26.8,35.2,17.7,50,1.9,7.2,14.8,188.0
25.1,35.2,18,53,2.1,10.4,25.9,154.0
27.2,38,21,55,1.9,13,18.3,157.0
25.8,32.2,19.5,49,2.6,12.6,18.3,147.0
25.7,32.8,17.5,41,2.6,12.8,25.9,137.0
27,37.2,22.6,49,1.9,15.6,27.8,152.0
27.7,34.5,21.5,55,1.9,5.2,13,151.0
29.1,36.5,20.5,53,1.8,2.6,11.1,224.0
25.6,32.3,20,64,1.9,5,14.8,157.0
