T,TM,Tm,H,VV,V,VM,PM 2.5
12.2,23.9,5.7,88,0.3,0.7,5.4,351.0
11.8,20.1,8.4,89,0.3,2.8,9.4,386.0
11.3,18.2,6.7,85,0.6,3.5,9.4,289.0
13.2,20.8,6.4,69,1.4,8.5,14.8,248.0
12.1,20.7,5,72,1.4,3.9,11.1,233.0
12.2,21.7,4.2,75,1.4,5.7,18.3,266.0
13.6,23.7,5.5,68,1.4,4.4,18.3,272.0
14,23.7,5.7,69,2.3,4.8,14.8,244.0
14.7,25,6.4,70,1.4,9.4,24.1,257.0
15.8,24.2,9.5,79,1,4.6,11.1,311.0
14.2,24.9,8,75,0.6,5,13,262.0
13.9,25.2,5,70,1.9,0.4,3.5,248.0
12.5,18.9,8.8,90,0.6,8.3,16.5,180.0
12.1,18.4,7,89,0.5,4.4,9.4,210.0
13,20.2,8,79,0.6,4.3,9.4,242.0
17.2,26.9,9.9,69,1.4,13,25.9,193.0
18.7,27.2,11,69,1.4,3,13,209.0
17.7,27.8,10.5,69,1.6,3.7,14.8,213.0
16,26.5,9.3,57,1.4,4.4,13,183.0
15,23.6,8.5,55,1.4,7.4,22.2,198.0
13.9,24.1,5.5,61,1.6,1.7,9.4,262.0
14.6,24,6.1,59,1.3,2.2,7.6,302.0
16.4,23.4,9,75,1.6,5.2,14.8,175.0
16.4,23.5,10.2,63,1.8,11.1,25.9,156.0
17.5,23.4,11.6,66,2.4,9.8,25.9,173.0
18.1,26.6,10,60,1.6,3.3,18.3,217.0
19,28.2,10.1,62,2.1,4.4,14.8,258.0
21.5,31.2,12.5,59,1.8,1.5,5.4,243.0
22.5,31.6,17,65,1.9,7.4,16.5,180.0
21.1,29.4,14.5,64,2.6,11.3,25.9,157.0
22.3,29.8,15.4,65,1.9,6.3,24.1,164.0
21.7,30.7,14.9,62,1.6,1.7,7.6,193.0
22.9,31,15.5,58,2.3,3.9,14.8,201.0
24.1,32.3,16.6,53,2.1,2,9.4,176.0
21.8,29.4,14.7,53,2.6,7.6,22.2,167.0
22.6,31.6,13.3,57,2.3,3.1,14.8,191.0
23.4,32.2,14.8,52,1.8,3.5,11.1,197.0
25.9,35.6,17.1,45,2.3,2.8,11.1,191.0
24.8,36.2,17,47,2.7,1.9,9.4,175.0
25,34.1,17.2,51,2.6,11.3,27.8,176.0
24.6,34.4,15,44,2.3,4.4,14.8,158.0
26.1,35,16.5,45,2.6,2.2,5.4,172.0
26.1,35,21,53,2.6,5.6,14.8,198.0
25.7,32.3,18.5,49,1.9,8.7,22.2,159.0
26.3,33.6,19.5,44,2.6,9.1,22.2,176.0
