T,TM,Tm,H,VV,V,VM,PM 2.5
10.9,18,4.1,73,0.8,4.4,11.1,431.0
14.4,19,9.5,69,1.3,8.9,16.5,364.0
14.1,19.4,11.4,95,0.8,8.5,20.6,309.0
15.5,19,12,90,1,5.9,11.1,201.0
13.4,18.8,11.2,92,1.3,5.4,9.4,231.0
14.4,19,10,92,1,9.8,14.8,223.0
9.9,16,4.6,85,1,3.3,11.1,410.0
11.8,19,4.9,80,0.6,2.4,9.4,541.0
12.7,21,9,85,0.5,2,9.4,496.0
13.6,18.4,9,86,0.8,11.3,14.8,333.0
11.7,16.8,8.5,88,1,12.6,16.5,199.0
12.7,20.2,7.2,79,1.6,5.7,24.1,228.0
12.1,17,8,88,1.1,5,11.1,256.0
12.8,19,6.5,73,1.8,3.1,13,279.0
13.1,20,6.6,71,1.8,5.4,16.5,253.0
13.7,21,6.4,61,2.1,3.9,9.4,251.0
17.2,25,8,54,1.9,3.7,13,299.0
17.7,25,9.2,63,1.3,5.9,11.1,273.0
18.2,25,13,70,1.9,11.3,16.5,230.0
14.9,22,9,78,1.6,7.2,18.3,232.0
15.7,23,9.5,75,1.6,3.9,13,254.0
16.8,25,10,70,1.8,3.5,9.4,190.0
20.2,27,12,64,1.9,3.3,11.1,231.0
20.5,28,13.3,67,1.8,3.9,13,250.0
18.3,27.6,13,66,1.6,4.1,9.4,253.0
19.2,28,12.8,65,2.1,6.7,22.2,205.0
20.4,29,13.2,55,2.6,3.9,16.5,198.0
22,31,14,49,2.7,4.8,14.8,172.0
23.2,30.6,16,44,3.1,6.9,16.5,152.0
20.2,28,13,48,2.9,11.1,22.2,142.0
20.8,28.1,13,45,3.4,14.8,33.5,143.0
20.8,30,12.5,46,2.9,7.6,20.6,172.0
25,33,17,52,3.1,12.2,20.6,182.0
24.4,33.5,20,60,1.9,9.8,16.5,179.0
25.8,32,20,57,2.4,10.9,37,182.0
23.8,30.7,17,52,2.4,6.1,14.8,165.0
23.9,31,16.6,51,2.6,8,22.2,172.0
24.4,31.2,17,54,2.6,9.8,18.3,179.0
26.3,33.5,19,39,2.9,8,16.5,190.0
25.2,32.8,18,45,2.7,7.2,18.3,191.0
26.8,34.2,18,41,3.2,8.7,16.5,173.0
22.9,32.2,16,53,3.1,12,22.2,140.0
23.8,31,15.6,48,2.9,9.8,22.2,165.0
26.2,34,18,45,2.9,6.3,14.8,169.0
27.2,38.2,19,23,3.1,15.9,29.4,86.0
26.4,35,16.6,15,2.9,16.9,29.4,120.0
26.1,35.8,16,14,3.1,10.7,18.3,137.0
26.6,35,15.2,16,3.2,4.1,14.8,142.0
29.4,38.5,22.8,25,2.9,11.9,16.5,146.0
27.2,36.8,21.2,20,3.1,8.3,14.8,122.0
28.6,36.6,19.2,18,3.5,9.3,22.2,134.0
30.9,40.2,21,21,2.7,9.3,18.3,158.0
31.4,40.8,23,20,3.2,8.9,22.2,138.0
31.2,41,23.6,19,2.6,9.1,18.3,150.0
30.3,37.8,22,25,2.7,8.3,18.3,120.0
27.3,39.2,21,30,2.6,12.6,37,139.0
25.8,34.4,18,44,2.9,12.6,32.4,122.0
28.3,37.2,20,26,2.9,8.3,22.2,155.0
31,39.7,19.6,20,2.6,5.9,18.3,206.0
32.7,41,22.6,20,2.3,5.6,20.6,220.0
33.3,43.2,27,23,2.3,9.1,22.2,160.0
32,42.2,26.6,25,3.1,9.4,27.8,147.0
32.6,40.2,25.2,25,2.9,9.3,18.3,177.0
29.7,40,21.7,45,2.9,6.1,11.1,133.0
32.4,38.6,24.4,32,3.7,7.6,14.8,127.0
31.2,40.6,25.1,38,3.2,9.4,18.3,128.0
27.5,38.6,20.7,55,3.1,11.7,33.5,98.0
30.6,36,23.2,42,3.7,7.8,18.3,113.0
30.9,39,24.2,32,3.4,9.8,29.4,146.0
21.5,30.6,20,96,1.6,15.2,22.2,93.0
25.8,30,20,77,2.7,13.1,22.2,95.0
25.7,32,20,70,3.1,14.3,37,72.0
32.1,39,23.1,25,3.5,9.3,24.1,114.0
33.1,40,23.5,23,3.7,6.3,20.6,117.0
33.1,40.6,24.2,28,3.5,11.7,18.3,124.0
31.7,38,21,44,3.7,12.2,46.5,104.0
27.3,32,20.2,66,2.9,8.1,27.8,95.0
30.2,36,24.8,47,3.2,11.9,22.2,109.0
32.2,38,24.9,52,3.4,5.9,13,138.0
34.5,39,26.5,45,3.4,8.1,18.3,137.0
36,40.2,28.8,37,3.2,15,29.4,156.0
36.5,41.2,30.7,44,2.9,11.5,18.3,145.0
29.7,33.2,23.2,73,3.1,9.1,27.8,88.0
32.6,38,25.9,55,3.4,8.1,14.8,95.0
31.3,38.7,27,60,3.5,11.1,37,98.0
30.1,35.2,24.9,72,4,10.2,25.9,79.0
29.4,35.2,24.8,79,3.7,10.6,20.6,68.0
32.8,37,25,62,3.5,7.8,18.3,98.0
32.1,39,26.5,51,3.4,10.4,29.4,126.0
31.6,40.2,23,57,2.6,4.8,27.8,121.0
34.1,39,26.9,53,3.2,6.1,14.8,158.0
37.4,43.4,30.6,34,3.9,12,29.4,153.0
33.3,43.1,25,53,2.7,14.8,37,147.0
31.5,38,25,63,3.1,10,37,118.0
36.3,42,31,43,3.9,11.5,27.8,136.0
35.9,42.1,30,42,3.4,13.9,24.1,142.0
33.2,42.1,28.3,58,3.9,12.6,20.6,117.0
29.2,37,24.3,88,2.4,7.8,20.6,61.0
27.9,34.6,25,91,3.4,11.9,27.8,77.0
31.1,35,24.8,78,3.2,12.6,16.5,115.0
26,27,24.5,99,1.8,5.7,14.8,55.0
27.4,32,24.3,95,1.9,5.7,27.8,79.0
30.1,34,23.1,85,3.2,6.9,20.6,103.0
32.6,36,28.1,76,4.2,10.9,14.8,100.0
30.4,36.2,28.6,84,3.1,6.1,13,107.0
27.8,29.4,25.8,98,2.1,7.6,16.5,81.0
30.2,34,26,85,3.7,8,16.5,80.0
28.3,34.2,24,94,2.9,4.6,16.5,71.0
28.4,32,27,95,2.4,7.8,18.3,99.0
29.9,33,27,84,3.4,11.7,24.1,89.0
29,32.2,27,87,3.2,4.1,18.3,106.0
27.9,33.5,26,94,2.3,2.8,16.5,99.0
28.9,33.6,26,90,2.7,6.9,13,119.0
31.8,36.1,28,69,4,12.4,22.2,117.0
31.7,36.5,28,67,4.2,11.5,18.3,101.0
31.9,36.6,28.3,65,4.2,10,22.2,113.0
31.8,38.2,28,70,3.2,6.5,13,161.0
27,37.2,25,95,2.9,11.5,18.3,91.0
27.6,32.2,24.7,94,2.6,10.7,18.3,81.0
31.9,36,28,68,3.7,14.4,24.1,104.0
30.6,36.2,27.4,68,3.9,12,22.2,106.0
31.2,35.7,27,67,3.7,9.4,20.6,128.0
26.7,34.2,23,95,2.9,10,18.3,50.0
25.4,30.5,23,99,2.9,7.2,20.6,55.0
27.9,32.4,24,93,3.1,7.2,16.5,68.0
28.9,34,25.1,86,3.5,7,14.8,78.0
29.4,33,26.8,89,3.2,10.7,16.5,87.0
29.3,32,26.6,83,3.7,13.3,20.6,81.0
29.6,33,25,85,3.4,10.7,18.3,81.0
27.3,33,24,93,2.6,7.8,18.3,76.0
28.9,34.3,25,85,3.1,10.7,27.8,80.0
29.5,34.4,25,82,4.8,9.1,22.2,76.0
29.7,33.2,26,83,3.9,10.9,18.3,82.0
30.1,34.6,26.8,80,3.7,6.1,14.8,75.0
29.3,35,26,84,3.7,9.3,18.3,60.0
28.6,33.5,25,85,2.9,6.5,13,89.0
28.2,32.5,25,89,2.9,7.8,14.8,99.0
29.9,33,26,83,2.9,4.4,9.4,134.0
29.7,34.5,26.8,84,3.2,2.8,27.8,117.0
30.2,35,26.5,79,3.4,7,14.8,94.0
30.1,35.4,26.7,79,4,8.1,18.3,86.0
28.6,35.1,25,73,3.2,7.2,16.5,152.0
28.8,35,25,62,3.2,6.3,18.3,118.0
29.4,36,23.2,54,3.4,5.2,16.5,101.0
27.7,36.4,21,46,3.2,10.2,20.6,101.0
25.8,32.6,20,47,3.1,8.3,20.6,142.0
26.4,34.1,20,56,3.2,5.4,9.4,170.0
24.9,30,20.5,82,3.7,9.1,24.1,77.0
24.8,30.6,15,68,3.1,6.1,16.5,108.0
25.2,32,18.3,45,3.7,6.7,22.2,114.0
