T,TM,Tm,H,VV,V,VM,PM 2.5
10.8,20.2,2.4,84,0.6,3.1,13,450.0
13.7,22,4.6,80,0.8,2,7.6,331.0
14.4,23,7.6,82,1.3,2,7.6,238.0
15,19.1,11.6,88,1.3,5.4,7.6,160.0
13.2,19,11,99,0.6,5,7.6,164.0
10.4,14.6,7.8,89,0.8,6.3,9.4,155.0
14.2,23.4,8,85,1,7.8,13,230.0
12.6,19.9,8.6,89,1,4.3,9.4,164.0
13.7,19.8,6.4,80,1,4.4,9.4,159.0
11,17.7,7,87,1,9.8,16.5,173.0
11.9,16.7,8.3,89,0.6,5.2,11.1,191.0
13.6,20,9.2,87,0.6,3.5,9.4,225.0
11.6,21.1,4.8,80,1.6,2.6,5.4,196.0
14.7,22.6,6.9,73,1.3,5.2,13,227.0
15.5,22.7,8.5,79,1,4.3,9.4,212.0
12.9,20.2,7.2,77,1.6,6.7,13,150.0
12.3,19.7,5.7,82,1.4,3.3,13,165.0
12.1,19.9,6,83,1.1,5.7,13,171.0
12.9,21.2,5.4,74,2.1,4.4,13,180.0
12.7,20.4,6.1,79,1.1,3.9,7.6,189.0
13.7,20.8,7,78,1.4,4.6,14.8,203.0
13.9,22.2,6.6,77,1.6,3.1,11.1,172.0
20,27.4,12.3,67,1.8,12,18.3,152.0
18.8,27.8,13.7,63,1.8,13.9,18.3,133.0
18.2,25.4,11.5,61,1.9,14.1,18.3,146.0
19.1,26.9,8.1,70,1.9,8.9,18.3,166.0
21.8,27.2,13.6,68,2.1,12.4,22.2,156.0
16.8,27.5,14.2,85,2.6,9.8,16.5,98.0
19.3,26.4,13,79,1.4,3.1,9.4,181.0
20.3,27.2,12.7,73,1.4,4.3,14.8,191.0
20.7,27.4,13,82,1.8,4.6,9.4,160.0
21.9,27.6,14.4,77,1.9,3.1,7.6,97.0
21.2,27.8,14.6,81,1.9,1.3,5.4,155.0
21.1,28.6,14.3,72,1.9,3.7,11.1,136.0
17.3,22.4,13,91,1.9,3.9,9.4,103.0
18,24.4,11.1,79,1.9,5,11.1,124.0
18.3,25,12.4,72,2.7,8.5,18.3,124.0
21.3,28,13.8,63,2.6,5.6,9.4,129.0
18.5,28.3,15.6,88,1.9,4.8,9.4,89.0
18.8,25,12,78,1.6,4.8,11.1,109.0
23.2,29.8,16,73,2.1,4.1,9.4,142.0
24.7,31.2,16.4,72,1.9,3.7,7.6,157.0
23.6,31.4,17.8,72,2.6,3.1,7.6,134.0
25.6,33,16.8,70,3.1,5.6,14.8,75.0
24.1,33.3,19,75,1.9,8.7,18.3,82.0
21.7,29.2,17.6,80,2.6,7.4,14.8,65.0
24.5,32.2,16,54,2.6,6.3,9.4,0.0
25.6,32.6,17.4,56,2.3,6.3,9.4,72.0
24.8,32.7,18.4,53,3.7,8.3,16.5,63.0
23.2,31,15.4,51,3.1,7.2,14.8,101.0
26.7,35.8,17.6,50,2.7,8.1,14.8,0.0
25.8,34.2,19.8,49,3.5,6.1,13,0.0
24.6,33.5,13.5,57,3.5,4.6,11.1,79.0
30.7,37.6,20.6,49,3.5,6.7,14.8,140.0
31.1,39.2,23.2,55,2.7,2.2,7.6,103.0
31.2,39.7,24,40,2.7,5.6,14.8,158.0
27.3,37.3,19,58,3.1,3.9,11.1,83.0
26.4,35.2,20.2,58,3.1,5.6,14.8,106.0
27.2,34.2,19.2,56,3.5,4.8,9.4,87.0
30.3,38.4,23.8,55,4,5.6,11.1,87.0
24.4,37.9,20.4,76,2.3,9.6,18.3,106.0
27.1,33.2,18.9,70,2.7,12.8,18.3,67.0
31.8,38.8,24.6,64,3.1,8.1,11.1,112.0
31.2,38.8,24.4,65,2.7,10.9,14.8,83.0
27.2,37.9,22.6,81,1.9,8.7,14.8,73.0
29.4,36.6,21.6,43,3.2,5.4,11.1,89.0
32.2,39.2,23.7,45,3.2,5.7,9.4,106.0
33.5,40.4,26.2,48,2.3,6.5,11.1,105.0
30.2,37.2,26.2,57,1.9,6.3,11.1,123.0
30.8,39.7,23.6,55,2.7,7,11.1,96.0
31.8,39.7,23.6,41,3.1,7.4,16.5,93.0
32.3,40.7,22.1,33,2.6,3.1,11.1,137.0
32.7,40.7,22,29,3.5,7.2,11.1,114.0
33.2,41.4,24.8,31,4,7.4,14.8,110.0
36,44.4,27.2,34,3.1,9.4,22.2,115.0
37.6,45.6,28.2,30,3.5,10,18.3,104.0
37.5,46,28.4,26,4,9.4,13,87.0
25.8,34.8,20,78,2.6,6.7,14.8,43.0
29.4,35,21,66,3.1,3,5.4,80.0
30.9,36.4,24.8,56,2.7,8.5,14.8,92.0
30.5,36.9,24.9,63,2.7,4.6,9.4,88.0
29.3,36.8,23.2,71,1.9,7.4,13,70.0
31.8,37.4,25.2,63,1.9,5.2,18.3,79.0
34.3,39.6,26.9,56,3.2,5.4,13,107.0
32.6,41.5,28.8,68,1.9,5.9,9.4,95.0
35,40,28,57,3.1,8.1,11.1,118.0
35.7,41.2,28.6,54,3.7,8.3,11.1,87.0
36.6,42.5,29.8,53,3.2,9.4,11.1,112.0
31.1,41.2,22.4,71,2.7,9.8,22.2,75.0
31.9,38.1,24.6,74,3.2,5.9,11.1,71.0
31.8,36.4,26.8,79,3.2,5.2,18.3,54.0
32.9,37,27.2,71,3.7,9.4,18.3,72.0
34.8,40,28.2,63,3.1,13.9,27.8,104.0
34.2,38,28.8,69,3.2,5.2,9.4,91.0
36,40,30,64,2.6,7,11.1,112.0
36.2,42,30.4,63,2.7,10.7,25.9,111.0
30.9,36.2,26.4,77,3.5,11.9,18.3,47.0
31.6,36,26.9,79,2.3,9.8,18.3,42.0
33.1,38,27.4,68,3.1,7.8,11.1,65.0
32.4,37,26.2,64,3.5,8.1,11.1,99.0
33.9,38.2,27.6,69,2.3,7.2,14.8,116.0
32.7,38.5,28.8,73,1.9,8.3,14.8,90.0
29.6,36.4,23.4,85,1.8,7,13,48.0
28.8,35.2,24.8,81,2.7,5.2,7.6,50.0
26.3,32.6,23.5,93,2.1,6.7,22.2,34.0
31.7,35.4,25.9,80,2.6,5.2,9.4,59.0
32.7,36,26.8,74,3.2,6.1,16.5,72.0
