T,TM,Tm,H,VV,V,VM,PM 2.5
14.9,21.6,8.8,76,0.8,0.9,7.6,432.0
14.7,21.6,10.2,97,0.6,3.1,9.4,227.0
15,16.8,13.6,94,0.5,0.9,7.6,177.0
9.8,17.6,6.4,90,0.5,3.9,11.1,297.0
10.1,14.5,7.2,90,0.3,3.3,7.6,254.0
10.5,16.3,6.8,84,0.5,1.5,5.4,328.0
12.3,18.3,4,81,0.5,4.8,9.4,308.0
12.1,18.3,9,86,0.6,5.2,9.4,263.0
12.3,19,5.8,82,0.5,0.9,7.6,266.0
13.9,21.6,9.4,79,1,1.9,14.8,268.0
13.4,20.7,9.8,80,0.8,7.2,11.1,246.0
13.3,17.5,9.5,79,0.8,3.7,7.6,247.0
13.1,18.3,8.5,80,0.8,4.1,14.8,195.0
13.7,18.3,11.6,91,0.6,0.9,7.6,190.0
13.3,18.4,9.8,79,1,5.2,14.8,194.0
13.8,21.5,7.2,60,2.4,9.1,24.1,228.0
15.1,24,6.7,66,1.3,5,11.1,280.0
17.3,23.8,10.4,70,1,11.9,18.3,223.0
16.7,23.8,13,75,0.8,7.2,14.8,196.0
15.7,25.6,7.4,68,1.4,1.9,7.6,290.0
16.7,25.6,9.3,66,1.4,4.4,13,224.0
16.9,25.5,10.5,65,2.3,5.6,22.2,193.0
17.2,25.5,9.3,61,2.4,6.7,20.6,269.0
19.3,28.6,10.6,65,2.6,4.3,14.8,305.0
18.9,28.6,11.2,73,0.8,1.5,7.6,567.0
22.9,29.3,17,78,1.6,7.6,14.8,238.0
22.8,29.3,18,72,1.9,7.2,14.8,204.0
21.9,29.1,15.2,69,2.3,11.3,18.3,183.0
23.2,28.6,18.4,65,1.4,6.5,13,198.0
20,27.6,14.5,42,1.9,6.7,11.1,181.0
19.2,27.6,11.1,49,2.6,5.7,11.1,163.0
17.3,19,15.2,94,1.8,14.8,24.1,0.0
17.4,22.1,14.6,92,1.9,6.7,16.5,108.0
16.1,22.1,12.8,84,1.8,5.6,13,155.0
18.6,27.3,12.5,79,2.6,3.9,13,129.0
19.4,27.6,14,79,2.3,7.8,18.3,116.0
