T,TM,Tm,H,VV,V,VM,PM 2.5
14.1,22.2,5.8,61,1.8,4.3,11.1,353.0
15.1,23.6,8.2,64,1.1,3.9,13,398.0
12.1,19,7,84,0.6,8.5,16.5,373.0
12.6,19.2,8,85,1.1,6.1,11.1,235.0
11.8,19.4,8,88,0.6,8.3,16.5,247.0
13,20.8,7,67,2.1,10.4,22.2,192.0
16.3,23.2,8.9,67,1.3,8.5,14.8,295.0
12.1,19.4,6,57,2.4,13.1,22.2,176.0
11.1,18.2,5.6,67,2.1,7.8,59.4,195.0
15.8,25.1,7.8,60,1.6,3.9,11.1,410.0
19.3,28.5,7.8,54,2.1,5.2,11.1,357.0
16.7,28.5,12.6,77,1.8,14.1,25.9,252.0
13.6,21.7,10,77,1.6,9.1,14.8,245.0
12.1,19.4,6.8,64,1.8,9.4,14.8,182.0
10.6,17.4,5,74,1.9,10.7,18.3,229.0
15.1,20.9,10.7,60,2.6,10,18.3,284.0
14.1,22,9,79,1.1,11.9,18.3,236.0
11.7,16.6,8,96,0.6,11.9,18.3,248.0
12.4,18,8,92,0.6,6.9,14.8,214.0
15.2,19.2,9.6,94,1.9,13.9,27.8,150.0
13.4,20.2,8,74,2.4,9.4,18.3,145.0
13.3,20.8,7,71,2.4,8.5,18.3,139.0
19,25.4,12.6,62,1.6,7,13,287.0
17.2,25.4,13.9,80,1.6,13.5,22.2,263.0
16.4,21,13.2,85,1.4,10.6,18.3,247.0
18.8,23.5,13,76,1.6,6.9,11.1,211.0
18.1,21.2,16,81,2.6,11.7,22.2,208.0
21.7,29,14.8,64,2.7,10.4,18.3,155.0
17.5,26.4,11.5,55,2.9,9.6,25.9,182.0
15.7,22.4,11.2,64,3.2,9.8,24.1,150.0
14.7,21.6,10.5,69,3.2,8,18.3,159.0
17.1,24.9,8.8,54,2.9,7.4,18.3,220.0
14.7,19.2,12,84,2.3,8.3,20.6,198.0
17.2,22.5,11.7,84,2.3,6.7,18.3,0.0
19.3,28.2,11.2,54,2.6,7.4,14.8,199.0
20.4,28.2,12.8,54,3.1,7,14.8,175.0
20.2,27.6,13.6,53,3.2,10.6,22.2,163.0
18.7,24,14,60,2.9,3.3,11.1,164.0
17.3,25.2,12,71,2.6,10.6,22.2,171.0
18.7,27.2,10.1,64,2.3,12.4,22.2,135.0
23.6,32.4,14,45,2.7,9.3,14.8,186.0
26.3,34.4,17.8,41,2.7,9.3,22.2,154.0
24.8,32.2,18,48,3.4,9.6,16.5,207.0
22.6,31.8,16,55,2.9,11.5,18.3,158.0
23.7,31.4,16,50,3.5,11.3,22.2,164.0
24.4,33,16,45,2.9,8.1,18.3,152.0
27.8,36,18,34,3.4,13.1,22.2,174.0
26.4,37,16,33,3.2,10.6,22.2,0.0
27.3,36.9,18.4,32,3.7,6.9,14.8,0.0
28.7,38.2,18.7,34,3.5,7,18.3,0.0
29.1,40.4,22,51,2.4,12.4,27.8,0.0
28.3,37.5,20.5,46,2.9,6.9,20.6,174.0
29.8,38.2,21.8,42,3.2,5.9,13,0.0
31.6,39.2,23.8,32,4,13.7,24.1,174.0
32.4,39.6,23.9,31,3.7,13.7,18.3,0.0
32.6,41.2,24,30,3.7,11.9,29.4,0.0
26.3,33.6,19,46,3.1,8.7,14.8,0.0
28.8,36.3,20.5,36,3.1,5.4,13,0.0
31.9,39.2,22.9,31,3.1,7.6,18.3,0.0
34.5,42.2,25.4,25,3.1,10.9,22.2,0.0
34.8,42.2,25.6,22,3.5,15.6,33.5,0.0
34.8,43,25,17,3.1,13,27.8,0.0
34.9,43,25.5,23,2.9,6.9,14.8,0.0
32,40.4,26.4,30,2.9,16.5,55.4,0.0
30.7,40.3,25,35,3.4,10,18.3,0.0
