T,TM,Tm,H,VV,V,VM,PM 2.5
10.4,18.4,1.1,83,0.3,2.6,11.1,431.0
12.4,19.2,7,89,0.8,5,7.6,364.0
13.3,19.5,9.9,99,0.8,7.2,11.1,309.0
15.5,21.3,11.2,88,0.6,4.1,9.4,201.0
13.6,19.9,9.6,91,0.5,2,9.4,231.0
15.4,19.6,10.8,87,0.5,7.4,11.1,223.0
9.7,17.6,3.2,84,0.5,2.8,11.1,410.0
12.2,19,2,82,0.3,2.2,9.4,541.0
11.9,20,6.4,88,0.3,2,7.6,496.0
13.4,20.2,6.9,87,0.3,10.9,16.5,333.0
13.1,20.4,7.8,84,0.6,10.9,16.5,199.0
13.9,22.8,7.4,73,1.1,6.5,18.3,228.0
11.8,17.4,7.4,84,0.5,3,7.6,256.0
12.3,20.2,2.1,76,1.3,3,14.8,279.0
12.1,20.8,5.4,75,1.3,5.4,11.1,253.0
12.3,23.8,3.1,70,1.3,3.1,9.4,251.0
15.3,26.2,5.3,71,1.3,1.5,11.1,299.0
16.5,26.6,6.2,70,0.8,1.9,7.6,273.0
20.2,28.1,10.4,68,1.6,7.4,14.8,230.0
16.5,23,8.3,74,1.6,7.4,20.6,232.0
16.1,24.2,7.6,78,1.1,4.4,11.1,254.0
15.3,25.2,7.8,83,1.3,2,7.6,190.0
20.6,29.2,9.9,70,1.9,2.4,13,231.0
21.2,29.5,11.6,69,1.1,2.4,7.6,250.0
20.1,29.4,10.7,69,1.8,1.7,9.4,253.0
21.5,29,11,66,2.6,8.5,22.2,205.0
22.8,31.2,10.7,60,2.7,4.8,13,198.0
23.3,32.2,12,61,2.4,5.9,14.8,172.0
24.8,32,15.6,54,3.7,5.9,14.8,152.0
22.5,32.3,11.8,59,4,8.5,18.3,142.0
23.6,29,15.3,55,3.5,12.8,25.9,143.0
23,31,13.2,57,3.2,8.9,14.8,172.0
27.2,34,14.4,58,2.9,7.8,13,182.0
26,34,18.9,68,2.3,7.6,13,179.0
27.5,34,18.8,66,2.6,7.2,11.1,182.0
25,31,15.2,59,3.2,4.3,9.4,165.0
24.6,31.2,14,59,2.7,6.7,18.3,172.0
25.7,32,16.2,57,3.4,8.5,18.3,179.0
26.1,35.3,19.2,52,2.6,3.9,13,190.0
24.3,34.5,16.8,58,2.3,5.4,18.3,191.0
26.8,35,16.2,52,3.1,3,9.4,173.0
24.6,34.2,17.5,52,4,10.2,14.8,140.0
25.9,32,16,50,3.2,10.2,18.3,165.0
27.6,35,16.4,55,3.4,5.4,11.1,169.0
29.2,37.9,20,30,4,15.2,24.1,86.0
28.4,34.6,18.4,26,3.4,13.7,24.1,120.0
26.8,34.2,16.2,31,3.7,7.8,14.8,137.0
25.8,35,11.7,27,3.7,4.8,18.3,142.0
28.7,38.2,21.7,40,1.9,6.3,11.1,146.0
26.7,36.9,18.4,37,2.7,7.2,18.3,122.0
26.1,36.4,14.3,36,2.9,4.4,11.1,134.0
30.2,39.4,19.4,36,2.7,9.3,16.5,158.0
31.1,40.2,20.6,37,3.1,8.3,14.8,138.0
31.8,40.4,21.5,34,3.5,9.6,20.6,150.0
29.1,37.2,18.5,46,2.7,4.8,13,120.0
28.3,37.8,19.5,44,2.7,11.1,22.2,139.0
26.9,33.8,19.2,53,3.4,9.3,14.8,122.0
28.1,36.8,18,46,2.7,5.6,14.8,155.0
29.8,39.8,16.7,40,3.1,5,14.8,206.0
31.3,41.4,19.6,42,2.6,4.4,11.1,220.0
34.6,41,28.2,33,2.3,7,11.1,160.0
31.8,41.5,24.8,43,2.3,3.9,16.5,147.0
31.9,39.5,24.3,42,2.4,6.7,14.8,177.0
28.7,39.8,21.7,55,3.1,5.9,11.1,133.0
31.5,38.4,22.3,43,3.1,4.3,7.6,127.0
31.5,39,23.2,46,2.7,5,13,128.0
28.1,36.8,21.3,59,3.1,9.3,16.5,98.0
30.9,37,23.2,49,3.1,8.5,13,113.0
30.1,38.6,23,47,2.6,5.4,14.8,146.0
22.3,30.8,21.2,96,1.1,7.8,14.8,93.0
25.7,31,19.3,82,1.8,6.5,14.8,95.0
26,32.4,19.4,82,2.9,5.7,9.4,72.0
31.8,38.6,23,41,3.2,6.3,14.8,114.0
31.7,39.4,22.6,39,3.2,3.9,7.6,117.0
32.1,40.6,22.2,45,3.2,7.2,11.1,124.0
31.4,38.8,20.4,53,3.4,6.9,14.8,104.0
27.2,39.6,17.9,72,3.2,5.7,14.8,95.0
30.9,36.6,23,50,1.9,7.2,11.1,109.0
32,37.2,24.4,58,2.7,4.4,9.4,138.0
33.8,39.6,26.1,52,3.2,5.4,11.1,137.0
36.1,41.2,28.6,42,3.2,12,24.1,156.0
36.9,41.7,31.4,43,2.7,11.5,18.3,145.0
30.9,35.8,23.8,67,3.1,4.6,11.1,88.0
32.9,38.2,25.5,54,3.2,5.6,9.4,95.0
32.7,38.6,27,59,2.9,8,18.3,98.0
30.5,36.6,25.3,68,2.3,9.4,14.8,79.0
29.8,35.1,25.2,73,2.9,8.9,14.8,68.0
32.6,36.4,25.5,61,3.1,5.4,9.4,98.0
32.5,39,25.1,50,2.7,5.9,9.4,126.0
31.6,40.1,25.6,63,2.3,6.3,22.2,121.0
33.3,38.7,26.7,58,2.1,5,9.4,158.0
37.4,43.5,28.8,40,3.5,12,24.1,153.0
35.1,43.1,27.2,49,2.6,15.2,31.7,147.0
31.6,41.3,24.1,58,2.7,6.7,11.1,118.0
36.4,41.4,29.5,46,3.5,7.8,14.8,136.0
34.7,42.6,26.8,49,2.7,10.2,16.5,142.0
33.2,41.8,24.1,65,2.7,8.1,11.1,117.0
28.4,37.7,23.5,91,1.8,6.7,14.8,61.0
27.2,35,25,93,2.1,5.6,13,77.0
31.3,35.4,23.4,77,2.6,5.6,7.6,115.0
26.1,36.4,24.2,99,1.9,2.6,11.1,55.0
27.4,31.6,24,94,1.8,4.8,11.1,79.0
29.9,34.2,22.4,84,2.3,5.9,11.1,103.0
33.7,37,27.6,68,3.5,6.3,13,100.0
31.3,37.3,28.3,79,1.9,4.8,9.4,107.0
28.4,33.1,25,94,1.8,4.8,11.1,81.0
30.3,34.4,24.3,85,3.1,5.4,11.1,80.0
28.6,35,24.8,87,1.9,2.8,7.6,71.0
29.5,32.1,26.1,85,1.9,2,7.6,99.0
30.7,34,25.8,77,2.6,6.7,14.8,89.0
29.9,36.7,27.3,85,2.3,3,11.1,106.0
28.2,33.2,26.4,91,1.9,2,9.4,99.0
29.9,33.4,25.1,83,1.6,5,7.6,119.0
32.9,36.2,27,58,3.4,11.9,24.1,117.0
33.6,37,26.8,57,3.5,6.5,20.6,101.0
32.7,36.8,27,60,3.4,8.9,14.8,113.0
32.3,38,27.5,69,2.1,4.4,7.6,161.0
27.2,36.5,26,92,1.9,7.4,14.8,91.0
27.8,32.8,23.8,95,1.9,6.3,9.4,81.0
33.1,35.8,27.4,60,3.2,14.1,27.8,104.0
30.9,36.4,26.6,63,2.7,12.2,24.1,106.0
31.7,35.6,25.4,61,3.4,7,13,128.0
26.4,34.6,24,94,1.8,6.5,11.1,50.0
25.1,28.9,23.6,99,1.4,6.5,14.8,55.0
28.5,32,23.7,85,2.3,5.2,11.1,68.0
31,34.4,25.4,74,2.9,5.4,13,78.0
30.8,36.2,27.4,81,2.4,4.4,13,87.0
29.8,33.6,26,80,3.1,10.6,18.3,81.0
30.2,33.8,27.2,82,1.9,9.1,18.3,81.0
27.6,33.4,25,92,1.9,1.5,5.4,76.0
30.2,35,24,82,2.4,7.2,22.2,80.0
31.3,35.4,25.2,74,3.7,6.3,14.8,76.0
31.3,34.4,26,74,3.2,6.9,11.1,82.0
30.8,35,26.5,73,2.6,5.4,11.1,75.0
29.4,35.8,25.8,79,3.1,4.8,9.4,60.0
28.8,32.7,24.6,81,3.1,3.3,7.6,89.0
29.1,33.2,25.5,81,1.9,6.3,11.1,99.0
29.9,33.8,26,77,2.3,3.3,7.6,134.0
29.9,35.2,26.5,79,2.3,1.9,9.4,117.0
30.6,35,26.2,73,3.1,5.2,11.1,94.0
30.7,36,26.3,72,3.1,7.2,18.3,86.0
28.4,34.9,23.8,71,2.6,4.4,13,152.0
29.1,35,23.4,64,3.1,4.8,11.1,118.0
28.7,35.8,23,63,3.7,2.2,9.4,101.0
26.6,36.7,20.6,57,2.3,2.8,7.6,101.0
25.9,33.9,19,55,3.1,2.4,5.4,142.0
28,35,18.6,55,3.1,5,11.1,170.0
25.6,30.8,19.9,76,2.9,8.9,18.3,77.0
25.3,31.4,19.8,70,2.1,5,11.1,108.0
24.6,32.1,16,54,3.2,6.1,18.3,114.0
21.8,31.5,16.4,78,2.7,2,7.6,89.0
21.3,28.4,16.2,73,1.9,4.8,14.8,157.0
20.9,28,14.6,69,1.9,4.8,13,175.0
21.7,30.2,16.2,66,1.9,4.6,14.8,185.0
21.7,30.6,13.6,70,1.9,2,5.4,202.0
21.7,31.2,14.5,68,1.9,2.2,7.6,196.0
22,29.6,15.9,74,1.4,2.8,7.6,171.0
20.3,29,14.2,68,0.8,2.8,9.4,202.0
20,29.1,13.6,70,0.8,3,13,259.0
20.4,29.2,13.5,70,0.8,3.7,7.6,259.0
18.3,27.4,11.1,71,1.3,3,9.4,184.0
18.1,27.4,10.1,68,1.1,0.7,5.4,198.0
18.1,28.1,10.3,70,1,1.3,7.6,221.0
18.2,26.8,10.9,73,0.6,1.5,7.6,296.0
18.6,26.2,14.5,72,0.8,2,7.6,296.0
17.9,27.2,9.8,67,1.3,5,14.8,267.0
17.4,28.8,9.7,73,0.6,0.7,5.4,351.0
17.6,27.8,11,79,0.5,1.3,5.4,0.0
17.5,27.6,10.2,79,0.8,1.7,7.6,0.0
17.2,25.6,11.5,81,0.6,0.7,5.4,301.0
16.5,23,13.4,87,0.5,1.7,7.6,355.0
17.6,21.6,12.5,83,0.5,2.6,7.6,268.0
16.9,24.8,11.4,70,1.3,4.6,13,190.0
15.9,25.1,10.1,73,1.8,2.4,7.6,189.0
15.6,24,8.4,76,1.4,2.2,9.4,225.0
14.1,23.9,6.6,74,1.3,0.9,7.6,277.0
14.3,22.4,7.5,78,0.8,1.9,7.6,320.0
13.7,22.7,7.8,76,0.8,2.8,7.6,280.0
10.9,18.6,4.6,68,1.4,6.7,14.8,216.0
10.8,20,3.2,70,1.1,2,5.4,284.0
12.4,22.2,4,67,1.1,2.4,7.6,368.0
14.5,23.2,7,81,0.6,1.3,5.4,451.0
15.6,23.6,9.8,86,0.3,2.4,7.6,430.0
15,22.4,10.4,76,1,0.7,5.4,249.0
10.7,19.5,3.8,72,1,3,7.6
