date,pm25
2019-01-01,353
2019-01-02,398
2019-01-03,373
2019-01-04,319
2019-01-05,336
2019-01-06,261
2019-01-07,235
2019-01-08,247
2019-01-09,192
2019-01-10,247
2019-01-11,328
2019-01-12,470
2019-01-13,295
2019-01-14,176
2019-01-15,195
2019-01-16,334
2019-01-17,426
2019-01-18,327
2019-01-19,410
2019-01-20,357
2019-01-21,252
2019-01-22,158
2019-01-23,203
2019-01-24,261
2019-01-25,245
2019-01-26,182
2019-01-27,229
2019-01-28,199
2019-01-29,227
2019-01-30,296
2019-01-31,284
2019-02-01,236
2019-02-02,248
2019-02-03,214
2019-02-04,228
2019-02-05,307
2019-02-06,244
2019-02-07,150
2019-02-08,145
2019-02-09,139
2019-02-10,202
2019-02-11,268
2019-02-12,310
2019-02-13,287
2019-02-14,263
2019-02-15,247
2019-02-16,199
2019-02-17,204
2019-02-18,153
2019-02-19,211
2019-02-20,208
2019-02-21,155
2019-02-22,183
2019-02-23,143
2019-02-24,181
2019-02-25,182
2019-02-26,150
2019-02-27,159
2019-02-28,0
2019-03-01,220
2019-03-02,198
2019-03-03,0
2019-03-04,0
2019-03-05,127
2019-03-06,172
2019-03-07,199
2019-03-08,175
2019-03-09,163
2019-03-10,170
2019-03-11,144
2019-03-12,151
2019-03-13,164
2019-03-14,171
2019-03-15,135
2019-03-16,155
2019-03-17,171
2019-03-18,187
2019-03-19,186
2019-03-20,154
2019-03-21,207
2019-03-22,120
2019-03-23,140
2019-03-24,185
2019-03-25,158
2019-03-26,164
2019-03-27,152
2019-03-28,188
2019-03-29,307
2019-03-30,0
2019-03-31,174
2019-04-01,0
2019-04-02,0
2019-04-03,0
2019-04-04,0
2019-04-05,174
2019-04-06,0
2019-04-07,0
2019-04-08,174
2019-04-09,0
2019-04-10,0
2019-04-11,174
2019-04-12,174
2019-04-13,174
2019-04-14,0
2019-04-15,0
2019-04-16,0
2019-04-17,0
2019-04-18,0
2019-04-19,0
2019-04-20,0
2019-04-21,0
2019-04-22,0
2019-04-23,0
2019-04-24,0
2019-04-25,0
2019-04-26,0
2019-04-27,0
2019-04-28,0
2019-04-29,174
2019-04-30,0
2019-05-01,0
2019-05-02,0
2019-05-03,0
2019-05-04,0
2019-05-05,0
2019-05-06,0
2019-05-07,174
2019-05-08,0
2019-05-09,0
2019-05-10,0
2019-05-11,0
2019-05-12,0
2019-05-13,0
2019-05-14,197
2019-05-15,230
2019-05-16,219
2019-05-17,224
2019-05-18,178
2019-05-19,209
2019-05-20,224
2019-05-21,200
2019-05-22,199
2019-05-23,203
2019-05-24,0
2019-05-25,181
2019-05-26,179
2019-05-27,189
2019-05-28,206
2019-05-29,193
2019-05-30,200
2019-05-31,189
2019-06-01,185
2019-06-02,185
2019-06-03,178
2019-06-04,185
2019-06-05,185
2019-06-06,179
2019-06-07,206
2019-06-08,202
2019-06-09,206
2019-06-10,200
2019-06-11,233
2019-06-12,192
2019-06-13,180
2019-06-14,204
2019-06-15,187
2019-06-16,174
2019-06-17,265
2019-06-18,0
2019-06-19,444
2019-06-20,179
2019-06-21,182
2019-06-22,185
2019-06-23,0
2019-06-24,0
2019-06-25,176
2019-06-26,202
2019-06-27,207
2019-06-28,208
2019-06-29,206
2019-06-30,179
2019-07-01,203
2019-07-02,244
2019-07-03,0
2019-07-04,0
2019-07-05,0
2019-07-06,0
2019-07-07,0
2019-07-08,0
2019-07-09,0
2019-07-10,0
2019-07-11,0
2019-07-12,0
2019-07-13,0
2019-07-14,0
2019-07-15,0
2019-07-16,0
2019-07-17,0
2019-07-18,0
2019-07-19,0
2019-07-20,0
2019-07-21,0
2019-07-22,174
2019-07-23,0
2019-07-24,0
2019-07-25,0
2019-07-26,174
2019-07-27,0
2019-07-28,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,0
2019-08-03,0
2019-08-04,174
2019-08-05,0
2019-08-06,0
2019-08-07,0
2019-08-08,0
2019-08-09,0
2019-08-10,0
2019-08-11,0
2019-08-12,0
2019-08-13,0
2019-08-14,0
2019-08-15,0
2019-08-16,0
2019-08-17,0
2019-08-18,0
2019-08-19,0
2019-08-20,0
2019-08-21,0
2019-08-22,0
2019-08-23,0
2019-08-24,0
2019-08-25,0
2019-08-26,0
2019-08-27,0
2019-08-28,0
2019-08-29,0
2019-08-30,0
2019-08-31,0
2019-09-01,174
2019-09-02,0
2019-09-03,0
2019-09-04,0
2019-09-05,0
2019-09-06,0
2019-09-07,0
2019-09-08,0
2019-09-09,174
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,0
2019-09-14,0
2019-09-15,0
2019-09-16,0
2019-09-17,0
2019-09-18,0
2019-09-19,0
2019-09-20,0
2019-09-21,0
2019-09-22,0
2019-09-23,0
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-28,0
2019-09-29,0
2019-09-30,0
2019-10-01,0
2019-10-02,0
2019-10-03,174
2019-10-04,0
2019-10-05,0
2019-10-06,0
2019-10-07,0
2019-10-08,0
2019-10-09,0
2019-10-10,0
2019-10-11,0
2019-10-12,174
2019-10-13,0
2019-10-14,0
2019-10-15,0
2019-10-16,188
2019-10-17,190
2019-10-18,182
2019-10-19,194
2019-10-20,196
2019-10-21,197
2019-10-22,183
2019-10-23,182
2019-10-24,191
2019-10-25,202
2019-10-26,203
2019-10-27,287
2019-10-28,359
2019-10-29,276
2019-10-30,276
2019-10-31,260
2019-11-01,370
2019-11-02,288
2019-11-03,474
2019-11-04,290
2019-11-05,250
2019-11-06,155
2019-11-07,222
2019-11-08,199
2019-11-09,188
2019-11-10,216
2019-11-11,264
2019-11-12,364
2019-11-13,392
2019-11-14,390
2019-11-15,384
2019-11-16,220
2019-11-17,155
2019-11-18,170
2019-11-19,177
2019-11-20,206
2019-11-21,230
2019-11-22,222
2019-11-23,187
2019-11-24,167
2019-11-25,184
2019-11-26,169
2019-11-27,131
2019-11-28,79
2019-11-29,114
2019-11-30,165
2019-12-01,176
2019-12-02,181
2019-12-03,176
2019-12-04,195
2019-12-05,253
2019-12-06,267
2019-12-07,276
2019-12-08,265
2019-12-09,237
2019-12-10,277
2019-12-11,284
2019-12-12,274
2019-12-13,158
2019-12-14,152
2019-12-15,160
2019-12-16,161
2019-12-17,162
2019-12-18,205
2019-12-19,264
2019-12-20,288
2019-12-21,249
2019-12-22,179
2019-12-23,214
2019-12-24,269
2019-12-25,196
2019-12-26,213
2019-12-27,239
2019-12-28,297
2019-12-29,337
2019-12-30,0
2019-12-31,0
