date,pm25
2015-01-01,432
2015-01-02,227
2015-01-03,177
2015-01-04,194
2015-01-05,184
2015-01-06,224
2015-01-07,297
2015-01-08,254
2015-01-09,328
2015-01-10,267
2015-01-11,339
2015-01-12,325
2015-01-13,308
2015-01-14,263
2015-01-15,266
2015-01-16,247
2015-01-17,310
2015-01-18,316
2015-01-19,268
2015-01-20,246
2015-01-21,247
2015-01-22,212
2015-01-23,176
2015-01-24,174
2015-01-25,195
2015-01-26,190
2015-01-27,194
2015-01-28,195
2015-01-29,232
2015-01-30,207
2015-01-31,228
2015-02-01,280
2015-02-02,223
2015-02-03,196
2015-02-04,176
2015-02-05,194
2015-02-06,224
2015-02-07,290
2015-02-08,224
2015-02-09,193
2015-02-10,0
2015-02-11,220
2015-02-12,239
2015-02-13,269
2015-02-14,305
2015-02-15,567
2015-02-16,217
2015-02-17,232
2015-02-18,274
2015-02-19,238
2015-02-20,204
2015-02-21,183
2015-02-22,134
2015-02-23,253
2015-02-24,259
2015-02-25,198
2015-02-26,181
2015-02-27,163
2015-02-28,187
2015-03-01,0
2015-03-02,108
2015-03-03,155
2015-03-04,175
2015-03-05,221
2015-03-06,215
2015-03-07,129
2015-03-08,116
2015-03-09,142
2015-03-10,157
2015-03-11,172
2015-03-12,174
2015-03-13,203
2015-03-14,131
2015-03-15,63
2015-03-16,92
2015-03-17,140
2015-03-18,133
2015-03-19,155
2015-03-20,167
2015-03-21,173
2015-03-22,168
2015-03-23,180
2015-03-24,171
2015-03-25,214
2015-03-26,207
2015-03-27,143
2015-03-28,202
2015-03-29,0
2015-03-30,96
2015-03-31,127
2015-04-01,174
2015-04-02,143
2015-04-03,111
2015-04-04,117
2015-04-05,149
2015-04-06,174
2015-04-07,125
2015-04-08,161
2015-04-09,139
2015-04-10,178
2015-04-11,180
2015-04-12,109
2015-04-13,133
2015-04-14,141
2015-04-15,142
2015-04-16,137
2015-04-17,139
2015-04-18,259
2015-04-19,222
2015-04-20,193
2015-04-21,179
2015-04-22,174
2015-04-23,205
2015-04-24,198
2015-04-25,175
2015-04-26,131
2015-04-27,148
2015-04-28,148
2015-04-29,140
2015-04-30,147
2015-05-01,138
2015-05-02,144
2015-05-03,206
2015-05-04,184
2015-05-05,201
2015-05-06,213
2015-05-07,178
2015-05-08,179
2015-05-09,176
2015-05-10,178
2015-05-11,196
2015-05-12,194
2015-05-13,160
2015-05-14,165
2015-05-15,181
2015-05-16,168
2015-05-17,169
2015-05-18,157
2015-05-19,162
2015-05-20,156
2015-05-21,163
2015-05-22,143
2015-05-23,149
2015-05-24,160
2015-05-25,178
2015-05-26,182
2015-05-27,160
2015-05-28,277
2015-05-29,172
2015-05-30,178
2015-05-31,186
2015-06-01,131
2015-06-02,89
2015-06-03,173
2015-06-04,165
2015-06-05,224
2015-06-06,174
2015-06-07,199
2015-06-08,132
2015-06-09,0
2015-06-10,149
2015-06-11,204
2015-06-12,171
2015-06-13,147
2015-06-14,147
2015-06-15,170
2015-06-16,169
2015-06-17,189
2015-06-18,170
2015-06-19,182
2015-06-20,155
2015-06-21,82
2015-06-22,111
2015-06-23,153
2015-06-24,232
