date,pm25
2016-01-01,0
2016-01-02,0
2016-01-03,337
2016-01-04,434
2016-01-05,376
2016-01-06,392
2016-01-07,436
2016-01-08,369
2016-01-09,259
2016-01-10,247
2016-01-11,305
2016-01-12,233
2016-01-13,304
2016-01-14,266
2016-01-15,218
2016-01-16,196
2016-01-17,230
2016-01-18,315
2016-01-19,301
2016-01-20,284
2016-01-21,263
2016-01-22,345
2016-01-23,323
2016-01-24,344
2016-01-25,257
2016-01-26,347
2016-01-27,293
2016-01-28,282
2016-01-29,310
2016-01-30,311
2016-01-31,276
2016-02-01,195
2016-02-02,215
2016-02-03,211
2016-02-04,204
2016-02-05,252
2016-02-06,221
2016-02-07,232
2016-02-08,187
2016-02-09,246
2016-02-10,276
2016-02-11,202
2016-02-12,197
2016-02-13,193
2016-02-14,176
2016-02-15,184
2016-02-16,182
2016-02-17,190
2016-02-18,206
2016-02-19,227
2016-02-20,189
2016-02-21,141
2016-02-22,162
2016-02-23,153
2016-02-24,204
2016-02-25,174
2016-02-26,185
2016-02-27,168
2016-02-28,209
2016-02-29,221
2016-03-01,261
2016-03-02,244
2016-03-03,187
2016-03-04,183
2016-03-05,127
2016-03-06,122
2016-03-07,164
2016-03-08,157
2016-03-09,194
2016-03-10,214
2016-03-11,189
2016-03-12,120
2016-03-13,92
2016-03-14,136
2016-03-15,172
2016-03-16,145
2016-03-17,151
2016-03-18,155
2016-03-19,190
2016-03-20,182
2016-03-21,123
2016-03-22,98
2016-03-23,146
2016-03-24,245
2016-03-25,209
2016-03-26,147
2016-03-27,131
2016-03-28,154
2016-03-29,162
2016-03-30,192
2016-03-31,200
2016-04-01,174
2016-04-02,162
2016-04-03,190
2016-04-04,168
2016-04-05,164
2016-04-06,161
2016-04-07,196
2016-04-08,145
2016-04-09,206
2016-04-10,154
2016-04-11,169
2016-04-12,156
2016-04-13,174
2016-04-14,192
2016-04-15,207
2016-04-16,213
2016-04-17,186
2016-04-18,174
2016-04-19,225
2016-04-20,192
2016-04-21,182
2016-04-22,214
2016-04-23,173
2016-04-24,237
2016-04-25,193
2016-04-26,239
2016-04-27,267
2016-04-28,302
2016-04-29,253
2016-04-30,321
2016-05-01,283
2016-05-02,237
2016-05-03,253
2016-05-04,210
2016-05-05,148
2016-05-06,130
2016-05-07,163
2016-05-08,180
2016-05-09,166
2016-05-10,160
2016-05-11,145
2016-05-12,163
2016-05-13,169
2016-05-14,174
2016-05-15,209
2016-05-16,191
2016-05-17,185
2016-05-18,227
2016-05-19,197
2016-05-20,169
2016-05-21,184
2016-05-22,162
2016-05-23,174
2016-05-24,131
2016-05-25,193
2016-05-26,215
2016-05-27,330
2016-05-28,214
2016-05-29,132
2016-05-30,138
2016-05-31,159
2016-06-01,154
2016-06-02,168
2016-06-03,190
2016-06-04,196
2016-06-05,172
2016-06-06,172
2016-06-07,154
2016-06-08,158
2016-06-09,169
2016-06-10,183
2016-06-11,144
2016-06-12,154
2016-06-13,204
2016-06-14,140
2016-06-15,200
2016-06-16,145
2016-06-17,140
